GOOD_NAME,UNIT_PRICE_AVR,ADG_CODE_MODE,Labels,GOOD_NAME_TRANSLATED,Predicted_Labels
"Գարեջուր Flensburger ,0,5 լ",1510.0,2203,beer,Beer Flensburger: 0.5 l,beer
Բրինձ Բասմատ Ինդիա 1կգ,1331.93548387097,1006,rice,Rice Basmat India 1 kg,rice
ԼՈԼԻԿ ԿՈՂԵՎԱՀԱՆԱԾ 1ԿԳ,800.0,2002,tomatoes,1 kg of tomatoes,tomatoes
Ժելե Ֆինի բանան 100գր,600.0,1704,dessert,Jelly Fin Banana 100 g,dessert
Դոնդող «Քրեյզի Ֆան» բուրգեր 17գ.,199.995,1704,dessert,Jelly Fan Pyramids 17 G.,else
պանիր Գորիսի չանախ կգ,2250.0,406,cheese,Cheese Goris Chanakh Kg,cheese
Թութուն «Մակ Բարեն» բալ 40գր,2025.47257383966,2403,dessert,"Mulberry ""Mak Baren"" 4 40 g",dessert
Ձողիկ հյութի գոֆրե 20հ,100.0,3921,else,Stick juice gofre 20 h,else
թան Իգիթ 0.5լ,200.200796178344,403,dairy,Tan Igit 0.5 l,else
Գարեջուր Ժիգուլյովսկոյե 0.5լ Ա/Տ,400.0,2203,beer,Beer Jigulovskoye 0.5 l / t,beer
Բրինձ կլոր  Անուշ Լինի 500գ,670.0,1104,rice,Rice round sweet 500 g,rice
ԳԱՐԵՋՈՒՐ WARSTEINER GOLD թ/տ 0.5լ.,860.0,2203,beer,Beer Warsteiner Gold / T 0.5 l.,beer
"Բրինձ Բարեկենդան,երկար դեղին 500գ ",450.0,1006,rice,"Rice carnival, long yellow 500 g",rice
Ժելեներ Բոնպարի չարաճճի արջուկ  75գ,370.0,2007,dessert,Jelly Bonpar Naughty Bear 75 g,dairy
Հալած պանիր Հոխլանդ Խոզապուխտ 55% 200գր,1160.0,406,cheese,Melted Cheese Hokland Ham 55% 200 g,cheese
ՄԱՐԻԱՆՆԱ ՅԳ ԴՁ270Գ,334.461538461538,403,dairy,Marianna Yg DG 270 g,dairy
Արևածաղիկ «Ապաչի» -10,280.0,1206,else,"Sunflower ""Apachi"" -10",else
Տորթ Դան դեսերտ 6800,7150.0,1905,dessert,Cake Dan Dessert 6800,dessert
Խաղող Քիշմիշ կգ,2835.09433962264,806,dessert,Grape Kishmish Kg,dessert
Պանիր Սուլուգունի Sega 40գր,250.0,406,cheese,Cheese Suluguni Sega 40 gr,cheese
"""Օտ Մարտինա"" գարեջուր 5.5%  0,375լ ",680.0,2203,beer,"""Ot Martina"" Beer 5.5% 0.375 l",beer
ԼԵՇ ՀԱՏՈՎ,900.0,302,meat,Lesh pc,else
Պանիր Վալիո Կրեմ Չիզ 180գր,900.0,401,cheese,Cheese Walio Cream Chiz 180 gr,cheese
Պանիր Gran Spicco 200գ,2460.0,406,cheese,Cheese Gran Spicco 200 g,cheese
Բրինձ Ֆալակ Պրեմիում Բասմատի 1կգ,1020.4,1006,rice,Rice Falak Premium Basmat 1 kg,rice
Գարեջուր Վեյզբեռգ 0.44լ,490.0,2203,beer,Beer Way with 0.44 l,beer
Բալ Տորթ 500գր.,2072.58064516129,1905,dessert,Cherry cake 500 gr.,dessert
Բանջարեղեն Լոլիկ Վարդագույն Կգ-Ով,1790.0,702,tomatoes,Vegetable tomatoes with pink kg,tomatoes
